,,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
payment_year,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,UnRedeemed
county,vocationaluse,,,,,,,,,,,,,,
Santa Barbara County,Bus - School,,,,,,,,,,,,220000.0,,732600.0
Santa Barbara County,Misc / other,,,,,,,,,,,,,,120000.0
Santa Barbara County,Panel/ Step/ Cargo Van,,,15000.0,,,,,,,,,,,
Santa Barbara County,Truck - Box,,,,148000.0,23000.0,115000.0,69000.0,23000.0,,15000.0,,,,425000.0
Santa Barbara County,Truck - Tractor,,105000.0,,,,,,,,,,,,
Santa Barbara County,※ Infrastructure,,,,,,,,,,18000.0,,,,
Santa Clara County,Bus - Heavy Duty/Transit,,,,,390000.0,590000.0,,950000.0,,4464000.0,156000.0,750000.0,,1552500.0
Santa Clara County,Bus - Medium Duty,,,,,,270000.0,300000.0,,250000.0,,,,,135000.0
Santa Clara County,Bus - School,,,,,,,,,,,2740000.0,220000.0,,285000.0
Santa Clara County,Misc / other,80000.0,,,37000.0,,,,,212600.0,92000.0,554000.0,34000.0,,591000.0
Santa Clara County,Panel/ Step/ Cargo Van,,50000.0,150000.0,175000.0,,,,,360000.0,,138000.0,,,4314500.0
Santa Clara County,Truck - Box,,610000.0,25000.0,926000.0,126000.0,466000.0,256000.0,23000.0,64000.0,,,,,
Santa Clara County,Truck - Straight,,820000.0,,,,,,,,270000.0,270000.0,,,170000.0
Santa Clara County,Truck - Tractor,560000.0,145000.0,,,,,,,,175000.0,,,,372000.0
Santa Clara County,※ Infrastructure,,,,,,,,,,218500.0,,,,
Santa Cruz County,Bus - Heavy Duty/Transit,,,,,,,,,,,,600000.0,,690000.0
Santa Cruz County,Bus - Medium Duty,,,,,,,,,,200000.0,250000.0,,,
Santa Cruz County,Bus - School,,,,,,,,,,,660000.0,,140250.0,1544500.0
Santa Cruz County,Misc / other,,,,,45000.0,220000.0,,,,,33000.0,,,120000.0
Santa Cruz County,Panel/ Step/ Cargo Van,,,,,,,,,,,,,,1293750.0
Santa Cruz County,Truck - Box,,,50000.0,50000.0,86000.0,23000.0,23000.0,,,,,,,
Santa Cruz County,Truck - Tractor,,,,,,,,,,,,,,240000.0
Santa Cruz County,※ Infrastructure,,,,,,,,,,,29450.0,,,125895.0
Shasta County,Bus - Heavy Duty/Transit,,,,,,,,,,120000.0,,,,
Shasta County,Bus - School,,,,,,,,,,,440000.0,,,
Shasta County,Misc / other,,,,,,50000.0,,,,,,,,
Shasta County,Panel/ Step/ Cargo Van,,,,,,,,60000.0,,,,,,
Shasta County,Truck - Box,,25000.0,,,,,,,,,,,,
Shasta County,Truck - Tractor,245000.0,,,,,,,,,,,,,
Shasta County,※ Infrastructure,,,,,,,,,,11980.0,,,,
